Gene	Symbol	UMSCC1_NTsh	UMSCC47_NTsh
ENSG00000000003	TSPAN6	51.261512080519736	24.272198518262257
ENSG00000000005	TNMD	0	0
ENSG00000000419	DPM1	218.33620132705403	148.03557803445577
ENSG00000000457	SCYL3	8.038227107756606	6.3968862577550105
ENSG00000000460	C1orf112	23.91247247538433	16.473775294212206
ENSG00000000938	FGR	0.13970224217669286	0
ENSG00000000971	CFH	0.11917141542586396	0.1885723933021874
ENSG00000001036	FUCA2	264.9915945992811	115.84948020743191
ENSG00000001084	GCLC	26.20746712986845	12.64357509079838
ENSG00000001167	NFYA	68.76825458771678	28.883343028160414
ENSG00000001460	STPG1	7.184939989960133	9.50439426093753
ENSG00000001461	NIPAL3	17.082387288975546	37.61953073590687
ENSG00000001497	LAS1L	67.12411532398913	32.15295952464108
ENSG00000001561	ENPP4	0	7.705479111391252
ENSG00000001617	SEMA3F	89.80434133120494	37.7668381728753
ENSG00000001626	CFTR	0	0
ENSG00000001629	ANKIB1	58.334366065751624	50.83837669752184
ENSG00000001630	CYP51A1	10.95973348493089	3.644390620188445
ENSG00000001631	KRIT1	25.26759596243575	18.732770608334075
ENSG00000002016	RAD52	8.223894234331741	5.987286000705609
ENSG00000002079	MYH16	0.22943220421769503	3.6304494408595565
ENSG00000002330	BAD	116.78502178645931	116.00348741485644
ENSG00000002549	LAP3	68.7277452778075	49.100813568561236
ENSG00000002586	CD99	45.07439243092522	122.06932991458238
ENSG00000002587	HS3ST1	6.775302128666265	6.583060864636427
ENSG00000002726	AOC1	0.12691568758416077	0.6694221336498937
ENSG00000002745	WNT16	0.29765445527251205	1.883989136395359
ENSG00000002746	HECW1	0.6255539282343685	0
ENSG00000002822	MAD1L1	22.08466374645676	30.095293267159263
ENSG00000002834	LASP1	352.3954533993807	277.77546766477076
ENSG00000002919	SNX11	53.296986514543825	25.13017372804566
ENSG00000002933	TMEM176A	0	0
ENSG00000003056	M6PR	126.95305328302064	117.38668927936722
ENSG00000003096	KLHL13	7.019602537806806	4.618983962820083
ENSG00000003137	CYP26B1	0.19354958696782887	14.598661782175023
ENSG00000003147	ICA1	3.472990314100201	3.1403028898922845
ENSG00000003249	DBNDD1	34.441807632941455	9.296961419316046
ENSG00000003393	ALS2	15.189793579506459	19.770954658512224
ENSG00000003400	CASP10	7.792803619013341	12.73533759372439
ENSG00000003402	CFLAR	8.552277462859731	8.771893224588725
ENSG00000003436	TFPI	9.404892331915283	0.21853083823435152
ENSG00000003509	NDUFAF7	33.76409194405507	16.96764168328351
ENSG00000003756	RBM5	30.660519001330943	13.036376217522745
ENSG00000003987	MTMR7	1.7052901943845076	0.5396774924266746
ENSG00000003989	SLC7A2	65.87657904393733	0.5181268036082872
ENSG00000004059	ARF5	238.90158619209313	234.23291551577532
ENSG00000004139	SARM1	34.4264358053557	18.893897248104995
ENSG00000004142	POLDIP2	373.89062373968494	217.7277657376359
ENSG00000004399	PLXND1	10.814916089837473	19.715574854260577
ENSG00000004455	AK2	106.77671425624358	69.81870636351627
ENSG00000004468	CD38	6.230292029222629	0
ENSG00000004478	FKBP4	153.56151368696544	92.31346730880692
ENSG00000004487	KDM1A	118.31764597082353	211.8545783876581
ENSG00000004534	RBM6	31.637220010571284	17.59866967976926
ENSG00000004660	CAMKK1	5.360546649298239	5.654885765202852
ENSG00000004700	RECQL	116.00026658486324	53.12171168439704
ENSG00000004766	VPS50	17.454061811870375	11.42654157912604
ENSG00000004776	HSPB6	0.5636766426502101	0
ENSG00000004777	ARHGAP33	0.46133611152265297	3.6013383591580292
ENSG00000004779	NDUFAB1	213.54325930160562	151.03234410555444
ENSG00000004799	PDK4	0	0
ENSG00000004809	SLC22A16	0	0
ENSG00000004838	ZMYND10	0.24211802909545072	0.2554123461289293
ENSG00000004846	ABCB5	0	0
ENSG00000004848	ARX	0.15670829490533772	0
ENSG00000004864	SLC25A13	94.97206950071408	43.74549141711431
ENSG00000004866	ST7	16.628628171661664	13.137275329586311
ENSG00000004897	CDC27	79.29924268667078	49.7419099797239
ENSG00000004939	SLC4A1	0	0
ENSG00000004948	CALCR	0	0.12666354473415112
ENSG00000004961	HCCS	54.664081366870036	69.28642360157544
ENSG00000004975	DVL2	69.03416326615202	33.206541045225656
ENSG00000005001	PRSS22	2.846484394849448	98.44829826027919
ENSG00000005007	UPF1	81.48955243961905	68.64024152688383
ENSG00000005020	SKAP2	35.52020617500357	56.113097631945735
ENSG00000005022	SLC25A5	1150.2216466927393	681.2667996264106
ENSG00000005059	MCUB	17.148352286750054	20.674218419916762
ENSG00000005073	HOXA11	19.56449059684884	15.756461809664565
ENSG00000005075	POLR2J	70.20207786500286	60.07665948535407
ENSG00000005100	DHX33	123.89357261468402	58.06790119977558
ENSG00000005102	MEOX1	0	0.1891296814981303
ENSG00000005108	THSD7A	0	0
